
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-12 11:19:25 / .......................................... ~ 501.50ms
  2026-07-12 11:19:26 /build/assets/app-Df1GZsGB.css ............... ~ 0.06ms
  2026-07-12 11:19:26 /images/techpickly-transparent-logo.png ...... ~ 0.21ms
  2026-07-12 11:19:26 /images/banner-default.jpg ................... ~ 0.03ms
  2026-07-12 11:19:27 /privacy-policy .............................. ~ 0.16ms
  2026-07-12 11:19:27 /build/assets/app-Df1GZsGB.css ............... ~ 0.05ms
  2026-07-12 11:19:27 /images/techpickly-transparent-logo.png ...... ~ 0.21ms
  2026-07-12 11:19:29 /return-refund ............................... ~ 0.13ms
  2026-07-12 11:19:29 /build/assets/app-Df1GZsGB.css ............... ~ 0.05ms
  2026-07-12 11:19:29 /images/techpickly-transparent-logo.png ...... ~ 0.30ms
  2026-07-12 11:19:30 /terms-conditions ............................ ~ 0.21ms
  2026-07-12 11:19:30 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-12 11:19:30 /images/techpickly-transparent-logo.png ...... ~ 0.03ms
