
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-16 07:30:47 / .......................................... ~ 500.47ms
  2026-07-16 07:33:39 /login ....................................... ~ 0.13ms
  2026-07-16 07:33:39 /build/assets/app-D_ind0wr.css ............... ~ 0.13ms
  2026-07-16 07:33:39 /build/assets/login-B8AI_Ufz.js .............. ~ 0.20ms
  2026-07-16 07:33:39 /build/assets/input-error-Cy2Ui60a.js ........ ~ 0.35ms
  2026-07-16 07:33:39 /build/assets/app-DnifVN-c.js ................ ~ 0.55ms
  2026-07-16 07:33:39 /build/assets/button-Bq0MOSp5.js ............. ~ 0.59ms
  2026-07-16 07:33:39 /build/assets/checkbox-Cpl6u6gZ.js ........... ~ 0.73ms
  2026-07-16 07:33:39 /build/assets/input-DMkQ5NzY.js .............. ~ 0.84ms
  2026-07-16 07:33:39 /_debugbar/assets ............................ ~ 0.05ms
  2026-07-16 07:33:39 /build/assets/label-DxenouYL.js .............. ~ 0.31ms
  2026-07-16 07:33:39 /build/assets/globe-CizywPbF.js .............. ~ 0.44ms
  2026-07-16 07:33:39 /build/assets/ship-J1c5L-7x.js ............... ~ 0.35ms
  2026-07-16 07:33:39 /build/assets/mail-yuMobT5P.js ............... ~ 0.48ms
  2026-07-16 07:33:39 /build/assets/loader-circle-CgOGbQo4.js ...... ~ 0.65ms
  2026-07-16 07:33:39 /_debugbar/assets ............................ ~ 0.04ms
  2026-07-16 07:33:39 /build/assets/index-DmdicaOd.js .............. ~ 0.28ms
  2026-07-16 07:33:39 /build/assets/index-Buagp2hd.js .............. ~ 0.41ms
  2026-07-16 07:33:39 /build/assets/index-DWWlUJV2.js .............. ~ 1.01ms
  2026-07-16 07:33:39 /build/assets/index-b90pDfYQ.js .............. ~ 0.99ms
  2026-07-16 07:33:40 /build/assets/app-D_ind0wr.css ............... ~ 0.14ms
  2026-07-16 07:33:40 /images/techpickly-transparent-logo.png ...... ~ 0.06ms
  2026-07-16 07:33:41 /login ..................................... ~ 500.82ms
  2026-07-16 07:33:41 /dashboard ................................... ~ 0.03ms
  2026-07-16 07:33:41 /_debugbar/open .............................. ~ 0.04ms
  2026-07-16 07:33:41 /_debugbar/open .............................. ~ 0.34ms
  2026-07-16 07:33:41 /build/assets/dashboard-Bhzy2dt2.js .......... ~ 0.32ms
  2026-07-16 07:33:41 /build/assets/badge-VGk5AD_i.js .............. ~ 0.18ms
  2026-07-16 07:33:41 /build/assets/app-layout-CVQCYA4L.js ......... ~ 0.32ms
  2026-07-16 07:33:41 /build/assets/index-CyQqIhtY.js .............. ~ 0.42ms
  2026-07-16 07:33:41 /build/assets/index-BcXddA74.js .............. ~ 0.54ms
