
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-13 10:11:30 / .......................................... ~ 500.49ms
  2026-07-13 10:16:04 /login ....................................... ~ 0.12ms
  2026-07-13 10:16:04 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-13 10:16:04 /build/assets/app-3a-l-npF.js ................ ~ 0.02ms
  2026-07-13 10:16:04 /build/assets/login-gVEWpINs.js .............. ~ 0.07ms
  2026-07-13 10:16:04 /build/assets/input-error-ClIc-_W6.js ........ ~ 0.19ms
  2026-07-13 10:16:04 /build/assets/text-link-Cn9vO3VV.js .......... ~ 0.34ms
  2026-07-13 10:16:04 /build/assets/button-C2MnCys5.js ............. ~ 0.46ms
  2026-07-13 10:16:04 /build/assets/checkbox-CjyoEogs.js ........... ~ 0.58ms
  2026-07-13 10:16:04 /build/assets/input-DFQW7ILG.js .............. ~ 0.71ms
  2026-07-13 10:16:04 /build/assets/label-_0bYYBSG.js .............. ~ 0.07ms
  2026-07-13 10:16:04 /build/assets/auth-layout-D3pL1JCK.js ........ ~ 0.20ms
  2026-07-13 10:16:04 /build/assets/loader-circle-CW_-8z_O.js ...... ~ 0.30ms
  2026-07-13 10:16:04 /build/assets/index-DmQr09XR.js .............. ~ 0.44ms
  2026-07-13 10:16:04 /build/assets/index-BtHCLbfV.js .............. ~ 0.57ms
  2026-07-13 10:16:04 /build/assets/index-Dsmb4WyM.js .............. ~ 0.71ms
  2026-07-13 10:16:04 /build/assets/index-BHWebBNU.js .............. ~ 0.02ms
  2026-07-13 10:16:04 /build/assets/app-Df1GZsGB.css ............... ~ 0.10ms
  2026-07-13 10:16:04 /logo.svg .................................... ~ 0.03ms
  2026-07-13 10:16:04 /_boost/browser-logs ......................... ~ 0.15ms
  2026-07-13 10:16:05 /_boost/browser-logs ......................... ~ 0.04ms
  2026-07-13 10:17:01 /login ....................................... ~ 0.19ms
  2026-07-13 10:17:01 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-13 10:17:01 /build/assets/login-gVEWpINs.js .............. ~ 0.06ms
  2026-07-13 10:17:01 /build/assets/app-3a-l-npF.js ................ ~ 0.21ms
  2026-07-13 10:17:01 /build/assets/input-error-ClIc-_W6.js ........ ~ 0.43ms
  2026-07-13 10:17:01 /build/assets/text-link-Cn9vO3VV.js .......... ~ 0.57ms
  2026-07-13 10:17:01 /build/assets/button-C2MnCys5.js ............. ~ 0.69ms
  2026-07-13 10:17:01 /build/assets/checkbox-CjyoEogs.js ........... ~ 0.82ms
  2026-07-13 10:17:01 /build/assets/input-DFQW7ILG.js .............. ~ 0.06ms
  2026-07-13 10:17:01 /build/assets/label-_0bYYBSG.js .............. ~ 0.20ms
  2026-07-13 10:17:01 /build/assets/auth-layout-D3pL1JCK.js ........ ~ 0.34ms
  2026-07-13 10:17:01 /build/assets/loader-circle-CW_-8z_O.js ...... ~ 0.53ms
  2026-07-13 10:17:01 /build/assets/index-DmQr09XR.js .............. ~ 0.64ms
  2026-07-13 10:17:01 /build/assets/index-BtHCLbfV.js .............. ~ 0.31ms
  2026-07-13 10:17:01 /build/assets/index-Dsmb4WyM.js .............. ~ 0.44ms
  2026-07-13 10:17:01 /build/assets/index-BHWebBNU.js .............. ~ 0.56ms
  2026-07-13 10:17:01 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-13 10:17:01 /logo.svg .................................... ~ 0.06ms
  2026-07-13 10:17:28 /login ....................................... ~ 0.10ms
  2026-07-13 10:17:28 /build/assets/app-Df1GZsGB.css ............... ~ 0.04ms
  2026-07-13 10:17:28 /build/assets/login-gVEWpINs.js .............. ~ 0.07ms
  2026-07-13 10:17:28 /build/assets/input-error-ClIc-_W6.js ........ ~ 0.21ms
  2026-07-13 10:17:28 /build/assets/text-link-Cn9vO3VV.js .......... ~ 0.32ms
  2026-07-13 10:17:28 /build/assets/button-C2MnCys5.js ............. ~ 0.42ms
  2026-07-13 10:17:28 /build/assets/app-3a-l-npF.js ................ ~ 0.63ms
  2026-07-13 10:17:28 /build/assets/checkbox-CjyoEogs.js ........... ~ 0.78ms
  2026-07-13 10:17:28 /build/assets/input-DFQW7ILG.js .............. ~ 0.07ms
  2026-07-13 10:17:28 /build/assets/label-_0bYYBSG.js .............. ~ 0.19ms
  2026-07-13 10:17:28 /build/assets/auth-layout-D3pL1JCK.js ........ ~ 0.31ms
  2026-07-13 10:17:28 /build/assets/loader-circle-CW_-8z_O.js ...... ~ 0.47ms
  2026-07-13 10:17:28 /build/assets/index-DmQr09XR.js .............. ~ 0.58ms
  2026-07-13 10:17:28 /build/assets/index-BtHCLbfV.js .............. ~ 0.21ms
  2026-07-13 10:17:28 /build/assets/index-Dsmb4WyM.js .............. ~ 0.33ms
